Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Focal adhesion	43/199	1.1715351742260277E-20	3.6083283366161655E-18	0	0	5.641785953265019	258.9206653142989	FLT1;SHC1;ITGB4;ROCK2;PXN;PIK3R3;ILK;PIK3CD;PIK3R2;ARHGAP5;ACTB;EGFR;ARHGAP35;CRKL;CDC42;CCND3;CCND2;RAP1A;ERBB2;KDR;AKT1;MAPK1;FLNB;FYN;RAC1;FLNC;HRAS;PDGFRB;PDGFRA;JUN;MAP2K1;BRAF;PTK2;VAV2;VEGFA;PPP1CA;PIK3CA;COL4A1;RAPGEF1;BCL2;CTNNB1;TLN1;SOS1
Central carbon metabolism in cancer	26/65	2.340624338653871E-20	3.604561481526961E-18	0	0	10.443864229765014	472.0760747228051	RET;FLT3;SLC2A1;PIK3CD;PIK3R3;PIK3R2;EGFR;NRAS;MYC;ERBB2;AKT1;MAPK1;HRAS;PDGFRB;PDGFRA;MAP2K1;MAP2K2;IDH1;NTRK3;PKM;PIK3CA;KIT;KRAS;FGFR3;FGFR2;FGFR1
Proteoglycans in cancer	42/201	1.2646073476294577E-19	1.2983302102329098E-17	0	0	5.455749970772768	237.40344151058017	SDC4;ROCK2;PXN;ITPR1;PIK3R3;PIK3CD;PIK3R2;ITPR3;ACTB;EGFR;SLC9A1;CDC42;NRAS;MYC;ERBB2;KDR;AKT1;MAPK1;FLNB;RAC1;FLNC;PRKACA;HRAS;MAP2K1;MAP2K2;STAT3;MSN;BRAF;PTPN11;ANK3;PTK2;VAV2;VEGFA;PPP1CA;SMO;PIK3CA;RPS6KB1;CTNNB1;KRAS;EZR;SOS1;FGFR1
Pathways in cancer	69/530	3.626991595240182E-19	2.79278352833494E-17	0	0	3.399182225725405	144.33170168218464	RET;ALK;HSP90AB1;FLT3;SLC2A1;PIK3CD;CRKL;CCND3;CCND2;MYC;AKT1;RAC1;PRKACA;JAK2;HRAS;PDGFRB;PDGFRA;MAP2K1;MAP2K2;DAPK1;TGFBR1;AR;SMO;PIK3CA;MSH3;TRAF3;COL4A1;KIT;RARA;IL6ST;SOS1;HDAC2;CTBP2;ROCK2;CUL1;LRP5;PIK3R3;CXCR4;PIK3R2;EGFR;GNAI2;CDC42;GNA13;NRAS;BCL2L11;RXRA;GNA11;ERBB2;ABL1;MAPK1;ZBTB17;TCF7L2;JUN;STAT3;BRAF;PTK2;VEGFA;RPS6KB1;GNAQ;GNB1;BCL2;GNAS;CTNNB1;KRAS;CALM2;FGFR3;FGFR2;BCL2L1;FGFR1
Regulation of actin cytoskeleton	40/214	5.927110819448813E-17	3.651100264780469E-15	0	0	4.88031038774066	182.3499167949771	NCKAP1;ITGB4;ROCK2;PXN;PIK3R3;CXCR4;PIK3CD;PIK3R2;WASL;ACTB;EGFR;ARHGAP35;CRKL;SLC9A1;CDC42;GNA13;NRAS;MAPK1;RAC1;HRAS;MYH10;WASF2;PDGFRB;PDGFRA;MAP2K1;GSN;MAP2K2;MSN;BRAF;SSH2;PTK2;VAV2;PPP1CA;PIK3CA;KRAS;EZR;SOS1;FGFR3;FGFR2;FGFR1
Human cytomegalovirus infection	40/225	3.617773581368973E-16	1.8571237717694063E-14	0	0	4.641717435451117	165.03859673477595	ROCK2;PXN;ITPR1;PIK3R3;CXCR4;PIK3CD;PIK3R2;ITPR3;EGFR;CRKL;GNAI2;GNA13;AKAP13;NRAS;MYC;GNA11;AKT1;MAPK1;RAC1;PRKACA;HRAS;PDGFRA;MAP2K1;MAP2K2;STAT3;HLA-B;NFATC3;HLA-A;PTK2;VEGFA;PIK3CA;RPS6KB1;GNAQ;GNB1;GNAS;CTNNB1;KRAS;CALR;SOS1;CALM2
Spliceosome	30/134	3.002126997307112E-15	1.3209358788151292E-13	0	0	5.845446397256537	195.46854385075403	EIF4A3;DDX42;HNRNPU;U2AF1;PRPF19;PRPF8;SNRNP70;U2AF2;PCBP1;TRA2B;SNRPD3;SF3B1;BCAS2;RBM17;SF3A1;HNRNPA3;CCDC12;CDC5L;CRNKL1;HNRNPM;HNRNPK;SNW1;PHF5A;DDX39B;SRSF2;SRSF6;SNRPC;SNRNP200;SRSF7;SNRPB
Rap1 signaling pathway	37/206	3.3585602568680615E-15	1.2930456988942037E-13	0	0	4.6895992293847755	156.2915116082264	FLT1;PIK3R3;PIK3CD;PIK3R2;ACTB;EGFR;CRKL;GNAI2;CDC42;NRAS;RAP1A;KDR;AKT1;MAPK1;RAC1;HRAS;PDGFRB;PDGFRA;MAP2K1;MAP2K2;BRAF;VAV2;VEGFA;PIK3CA;GNAQ;KIT;RAPGEF1;GNAS;CTNNB1;KRAS;TLN1;CALM2;FGFR3;RAPGEF3;FGFR2;EPHA2;FGFR1
Renal cell carcinoma	22/69	5.4062014966572326E-15	1.8501222899671418E-13	0	0	8.324819313580807	273.4805512730647	MAP2K1;JUN;MAP2K2;SLC2A1;PIK3CD;PIK3R3;PIK3R2;PTPN11;BRAF;CRKL;VEGFA;CDC42;NRAS;RAP1A;PIK3CA;RAPGEF1;AKT1;MAPK1;KRAS;RAC1;SOS1;HRAS
Neurotrophin signaling pathway	28/119	6.5448192104829105E-15	2.0158043168287363E-13	0	0	6.143449546920595	200.64569263381495	SHC1;PIK3R3;PIK3CD;PIK3R2;CRKL;CDC42;NRAS;RAP1A;RPS6KA2;ABL1;AKT1;MAPK1;RAC1;HRAS;MAP3K5;MAP2K1;JUN;MAP2K2;NTRK3;PRKCD;BRAF;PTPN11;PIK3CA;BCL2;RAPGEF1;KRAS;SOS1;CALM2
