Gene	GeneID	Gene_type	DORGE-OG_score	Drug_Name	Cell_Line	Time	Dose	p-value	q-value	Fold_Change	Specificity
PRKCB	5579	Novel DORGE-OG	0.919501693928796	trichostatinA	HL60	6h	0.1μM	1.58952E-13	1.36569E-12	-0.909412	3.424657534246575E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	tretinoin	HL60	6h	1.0μM	2.5447E-5	4.40928E-4	-1.55082	8.237232289950577E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	alvespimycin	MCF7	6h	0.1μM	0.00272695	0.0131242	-0.371526	6.574621959237344E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	trichostatinA	HL60	6h	1.0μM	0.00360691	0.0101478	-1.05805	3.90777647518562E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	tanespimycin	PC3	6h	1.0μM	0.00483099	0.0312131	-0.317321	9.9601593625498E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	trichostatinA	PC3	6h	1.0μM	0.00544514	0.0116377	-0.257268	3.663003663003663E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	tanespimycin	MCF7	6h	1.0μM	0.00550192	0.0137808	-0.164966	5.461496450027307E-4
PRKCB	5579	Novel DORGE-OG	0.919501693928796	bromopride	MCF7	6h	11.6μM	0.0075905	0.797057	-0.531914	0.0
TGIF1	7050	Novel DORGE-OG	0.895875672186875	LY-294002	MCF7	6h	10.0μM	8.80125E-17	1.78043E-15	-0.561946	4.627487274409995E-4
TGIF1	7050	Novel DORGE-OG	0.895875672186875	LY-294002	PC3	6h	10.0μM	1.42982E-9	1.04026E-7	-0.99398	0.001324503311258278
TGIF1	7050	Novel DORGE-OG	0.895875672186875	thioridazine	MCF7	6h	10.0μM	5.72901E-9	1.55621E-7	-0.658207	0.00104602510460251
TGIF1	7050	Novel DORGE-OG	0.895875672186875	cephaeline	MCF7	6h	6.0μM	4.19091E-8	2.4513E-7	-1.07439	3.554923569143263E-4
TGIF1	7050	Novel DORGE-OG	0.895875672186875	tretinoin	MCF7	6h	1.0μM	1.91461E-7	3.98322E-6	-0.460451	0.001196172248803828
TGIF1	7050	Novel DORGE-OG	0.895875672186875	sirolimus	MCF7	6h	0.1μM	1.24125E-6	1.22754E-5	-0.345471	7.855459544383347E-4
TGIF1	7050	Novel DORGE-OG	0.895875672186875	phenoxybenzamine	MCF7	6h	11.8μM	1.54268E-6	1.74478E-5	-1.00843	6.389776357827476E-4
TGIF1	7050	Novel DORGE-OG	0.895875672186875	wortmannin	MCF7	6h	0.01μM	4.27037E-6	9.17576E-5	-0.470952	0.001040582726326743
TGIF1	7050	Novel DORGE-OG	0.895875672186875	gossypol	MCF7	6h	7.8μM	1.30637E-5	4.4773E-4	-1.32432	0.0017825311942959
TGIF1	7050	Novel DORGE-OG	0.895875672186875	loperamide	MCF7	6h	7.8μM	1.33432E-5	0.00107794	-0.766339	0.002469135802469136
